api_variable_name,data_variable_name,plot_variable_name,description,measurement_units,expected_values
PEMLR,labor_force_employment_status,Labor Force-employment status,"Labor force status of the respondent, indicating whether they are employed, unemployed, or not in the labor force.",Categorical,"""-1"": ""Not in Universe"",""1"": ""Employed-At Work"", ""2"": ""Employed-Absent"", ""3"": ""Unemployed-On Layoff"", ""4"": ""Unemployed-Looking"", ""5"": ""Retired-Not In Labor Force"", ""6"": ""Disabled-Not In Labor Force"", ""7"": ""Other-Not In Labor Force"","
PESD1,how_disability_affects_ability_to_work,How Disability Affects Ability to Work,Indicates the severity at which an individuals dissability affects their ability to work,Categorical,"""1"":""No Difficulty"",""2"":""A Little Difficulty"",""3"":""Moderate Difficulty"",""4"":""Severe Difficulty"""
PESD6A,used_vocational_rehabilitation_agencies,Used Vocational Rehabilitation Agencies,Indicates whether the respondent used Vocational Rehabilitation (VR) services to assist with employment.,Categorical,"""-1"": ""Not in Universe"", ""1"": ""Yes"", ""2"": ""No"", ""3"": ""Haven't heard of this program"", ""-2"": ""Don't Know"", ""-3"": ""Refused"", ""-9"": ""No Response"""
PESD6B,used_one_stop_career_centers,Used One Stop Career Centers,Indicates if the respondent used the Assistive Technology Act Program for assistance.,Categorical,"""-1"": ""Not in Universe"", ""1"": ""Yes"", ""2"": ""No"", ""3"": ""Haven't heard of this program"", ""-2"": ""Don't Know"", ""-3"": ""Refused"", ""-9"": ""No Response"""
PESD6C,used_the_ticket_to_work_program,Used the Ticket to Work Program,Indicates whether the respondent used One-Stop Career Centers for job search and employment support services.,Categorical,"""-1"": ""Not in Universe"", ""1"": ""Yes"", ""2"": ""No"", ""3"": ""Haven't heard of this program"", ""-2"": ""Don't Know"", ""-3"": ""Refused"", ""-9"": ""No Response"""
PESD6D,used_assistive_technology_act_prog,Used Assistive Technology Act Prog,"Indicates whether the respondent used the Ticket to Work Program, which assists disabled individuals with finding employment.",Categorical,"""-1"": ""Not in Universe"", ""1"": ""Yes"", ""2"": ""No"", ""3"": ""Haven't heard of this program"", ""-2"": ""Don't Know"", ""-3"": ""Refused"", ""-9"": ""No Response"""
PESD6E,used_ctr_for_indpt_living_for_ind_w_dis,Used Ctr for Indept Living for Ind w Dis,"Indicates if the respondent used services from a Center for Independent Living, which supports independent living for individuals with disabilities.",Categorical,"""-1"": ""Not in Universe"", ""1"": ""Yes"", ""2"": ""No"", ""3"": ""Haven't heard of this program"", ""-2"": ""Don't Know"", ""-3"": ""Refused"", ""-9"": ""No Response"""
PESD6F,used_the_client_assistance_program,Used The Client Assistance Program,"Indicates whether the respondent used the Client Assistance Program, which provides support and guidance in accessing services related to employment.",Categorical,"""-1"": ""Not in Universe"", ""1"": ""Yes"", ""2"": ""No"", ""3"": ""Haven't heard of this program"", ""-2"": ""Don't Know"", ""-3"": ""Refused"", ""-9"": ""No Response"""
PESD6G,used_any_other_employment_assistance_program,Used any other employment assistance program,Indicates if the respondent used any other employment assistance programs not listed in the survey.,Categorical,"""-1"": ""Not in Universe"", ""1"": ""Yes"", ""2"": ""No"", ""3"": ""Haven't heard of this program"", ""-2"": ""Don't Know"", ""-3"": ""Refused"", ""-9"": ""No Response"""
PESD7A,how_helpful_vocational_rehab_agency,How helpful was Vocational Rehab Agency,Measures how helpful the respondent found Vocational Rehabilitation services in assisting with employment.,Categorical,"""-1"": ""Not in Universe"", ""1"": ""Not at all Helpful"", ""2"": ""A Little Helpful"", ""3"": ""Somewhat Helpful"", ""4"": ""Very Helpful"", ""-2"": ""Don't Know"", ""-3"": ""Refused"", ""-9"": ""No Response"""
PESD7B,how_helpful_one_stop_career_centers,How helpful One Stop Career Centers,Measures how helpful One-Stop Career Centers were in helping the respondent find or maintain employment.,Categorical,"""-1"": ""Not in Universe"", ""1"": ""Not at all Helpful"", ""2"": ""A Little Helpful"", ""3"": ""Somewhat Helpful"", ""4"": ""Very Helpful"", ""-2"": ""Don't Know"", ""-3"": ""Refused"", ""-9"": ""No Response"""
PESD7C,the_ticket_to_work_program_helpfulness,The Ticket to Work Program helpfulness,Measures how helpful the Ticket to Work Program was for the respondent in their efforts to gain employment.,Categorical,"""-1"": ""Not in Universe"", ""1"": ""Not at all Helpful"", ""2"": ""A Little Helpful"", ""3"": ""Somewhat Helpful"", ""4"": ""Very Helpful"", ""-2"": ""Don't Know"", ""-3"": ""Refused"", ""-9"": ""No Response"""
