,labor_force_employment_status,how_disability_affects_ability_to_work,used_vocational_rehabilitation_agencies,used_one_stop_career_centers,used_the_ticket_to_work_program,used_assistive_technology_act_prog,used_ctr_for_indpt_living_for_ind_w_dis,used_the_client_assistance_program,used_any_other_employment_assistance_program,how_helpful_vocational_rehab_agency,how_helpful_one_stop_career_centers,the_ticket_to_work_program_helpfulness,ctr_for_indpdt_living_for_ind_w_dis_helpful,other_employment_assist_program_helpful,does_this_person_have_any_of_these_disability_conditions,barrier_lack_of_education_or_training,barrier_lack_of_job_counseling,barrier_lack_of_transportation,barrier_loss_of_government_assistance,barrier_need_for_special_features,barrier_employer_or_coworker_attitudes,barrier_your_difficulty_with_disability,barrier_other,barrier_none,demographics_race_of_respondent,demographics_sex,demographics_age,household_total_family_income_past_12_months,state,county
0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,70,6,48,0
1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,68,3,48,0
2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,72,13,48,0
3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,70,13,48,0
4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,35,7,48,0
5,5,-1,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,1,2,2,2,2,2,2,2,2,1,1,1,69,12,48,0
6,5,-1,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,1,2,2,2,2,2,2,2,2,1,1,2,69,12,48,0
7,6,-1,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,1,2,2,2,2,2,2,1,2,2,1,1,39,12,48,0
8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,51,16,48,0
9,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,47,16,48,0
10,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,35,16,48,0
11,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,2,35,16,48,0
12,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,73,6,48,0
13,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,67,6,48,0
14,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,63,15,48,0
15,5,-1,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,1,2,2,2,2,2,2,2,2,1,1,2,72,15,48,0
16,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,74,13,48,0
17,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,71,13,48,0
18,6,-1,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,1,2,2,2,2,2,2,1,2,2,1,1,63,9,48,0
19,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,59,9,48,0
20,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,80,16,48,0
21,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,53,15,48,0
22,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,51,15,48,0
23,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,21,15,48,0
24,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,16,15,48,0
25,5,-1,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,1,2,2,2,2,2,2,2,2,1,1,2,80,9,48,0
26,5,-1,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,1,2,2,2,2,2,2,2,2,1,1,1,85,9,48,0
27,5,-1,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,1,2,2,2,2,2,2,2,2,1,7,1,56,7,48,0
28,5,-1,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,1,2,2,2,2,2,2,2,2,1,1,2,54,7,48,0
29,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,25,9,48,0
30,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,26,9,48,0
31,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,55,5,48,0
32,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,18,5,48,0
33,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,39,8,48,0
34,1,3,3,2,2,2,2,2,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,40,8,48,0
35,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,34,14,48,0
36,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,57,16,48,0
37,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,57,16,48,0
38,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,27,16,48,0
39,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,24,16,48,0
40,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,44,7,48,0
41,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,36,7,48,0
42,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,20,7,48,0
43,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,28,15,48,0
44,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,2,26,15,48,0
45,5,-1,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,1,2,2,2,2,1,2,1,2,2,1,2,80,9,48,0
46,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,49,14,48,0
47,6,-1,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,1,2,2,2,2,2,2,1,2,2,1,1,54,14,48,0
48,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,16,14,48,0
49,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,80,12,48,0
50,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,42,16,48,0
51,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,56,11,48,0
52,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,36,16,48,0
53,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,36,16,48,0
54,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,46,16,48,0
55,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,46,8,48,0
56,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,66,16,48,0
57,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,57,16,48,0
58,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,73,8,48,0
59,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,58,2,48,0
60,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,65,2,48,0
61,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,77,10,48,0
62,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,72,10,48,0
63,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,34,16,48,0
64,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,35,16,48,0
65,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,78,15,48,0
66,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,73,15,48,0
67,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,47,13,48,0
68,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,20,13,48,0
69,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,75,5,48,0
70,5,-1,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,1,2,2,2,2,2,2,2,2,1,4,2,71,5,48,0
71,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,65,6,48,0
72,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,34,1,48,0
73,5,-1,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,1,2,2,1,2,2,2,2,2,2,1,2,74,1,48,0
74,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,42,13,48,0
75,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,49,13,48,0
76,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,24,13,48,0
77,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,20,13,48,0
78,7,-1,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,1,1,2,2,2,2,2,1,2,2,1,2,34,4,48,0
79,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,62,12,48,0
80,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,26,9,48,0
81,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,58,15,48,0
82,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,80,12,48,215
83,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,48,12,48,215
